AREA,TAVE,TMAX,TMIN,RF,MWUTM,IW,CHA,CHM,PS,RD,SS
阿里山,15.5,23.4/9,10.5/3,140.3,4.8/180.0/13,15.3/130.0/13,89,17930,763.3,15,131.9
鞍部,23.1,29.1/30,18.8/2,34.5,13.2/180.0/18,28.9/180.0/17,82,18994,916.2,7,129.8
板橋,29.9,36.7/11,23.6/4,38.7,8.3/100.0/17,17.0/110.0/18,72,52/31,1004.9,9,211.2
成功,28.2,33.8/9,24.4/7,385.3,19.6/170.0/13,29.8/140.0/13,80,57/31,1002.5,13,230.5
嘉義,29.3,35.0/21,24.4/4,201,8.2/250.0/24,13.0/250.0/24,80,18507,1003.6,12,195.9
大武,28.5,35.2/26,24.2/7,432.8,10.5/20.0/17,19.7/20.0/17,80,49/23,1005.8,11,239.6
東吉島,29.1,32.7/29,25.0/4,128.9,21.1/160.0/18,29.0/160.0/18,83,23468,1001.8,10,250.1
恆春,29.1,34.3/29,24.3/4,298.6,10.9/290.0/17,23.8/170.0/17,81,19603,1003.9,18,212.8
新竹,29.7,35.7/31,24.0/4,48.5,6.4/280.0/24,15.7/330.0/24,70,18872,1002.8,6,241.5
花蓮,28.7,33.9/12,24.3/4,198.6,12.3/160.0/18,17.5/150.0/18,76,20241,1004.7,10,264.6
高雄,29.2,34.6/11,24.5/13,200.5,9.1/150.0/18,19.4/150.0/18,80,20729,1006,15,240.6
基隆,29.4,35.9/22,24.6/2,65.1,12.4/170.0/18,26.9/160.0/18,74,18629,1003,12,229.4
金門,28.5,33.9/17,25.3/5,77.2,9.8/220.0/14,22.6/220.0/14,84,60/13,1003.1,6,242.6
蘭嶼,26.4,31.6/29,23.9/13,146.9,22.6/80.0/17,36.7/70.0/17,86,74/29,970.6,12,181.7
馬祖,27.5,32.9/29,21.5/3,143.5,10.6/200.0/23,18.6/210.0/23,89,26115,995.9,7,249
澎湖,28.8,33.6/12,24.4/14,109.1,11.9/150.0/18,22.3/150.0/18,82,58/29,1005.6,7,275.5
彭佳嶼,27.6,32.7/25,22.6/3,41.8,22.7/120.0/13,34.1/180.0/18,87,64/22,994.7,6,286.2
蘇澳,28.7,32.8/27,24.0/4,139.8,13.2/170.0/18,27.9/210.0/18,76,20180,1003.7,9,239.5
日月潭,22.9,30.5/17,17.7/4,146.7,5.7/160.0/4,9.3/270.0/19,88,48/17,898,16,107
臺中,29.1,35.3/9,23.8/5,83.5,5.2/250.0/25,11.2/210.0/25,72,15950,997,9,162.5
臺南,29.6,34.6/31,24.9/13,139.5,13.3/170.0/18,21.9/170.0/18,74,18872,1003.9,9,198.7
臺北,30.1,37.2/22,24.6/25,140.9,9.5/100.0/18,19.4/90.0/18,70,48/31,1005.3,10,182.5
臺東,28.9,34.0/31,24.7/13,412.1,6.8/200.0/25,16.4/30.0/17,79,58/24,1005.5,12,245.7
淡水,29.6,37.2/31,23.5/2,14,7.7/130.0/17,21.3/120.0/18,69,44/31,1003.9,5,237.7
梧棲,29.3,33.1/19,25.4/3,72.9,8.7/260.0/1,14.9/250.0/25,73,19968,1003.7,9,236
宜蘭,28.8,34.4/25,24.2/4,66,9.4/110.0/12,18.7/160.0/18,77,55/19,1005.6,9,255.4
玉山,8,19.7/9,1.2/3,185.2,21.3/140.0/18,31.7/150.0/18,77,25/30,643.4,15,175.5
竹子湖,24.9,31.5/16,19.9/3,38.8,6.4/350.0/2,14.2/200.0/18,79,58/31,939.1,11,161.4
