AREA,TAVE,TMAX,TMIN,RF,MWUTM,IW,CHA,CHM,PS,RD,SS
阿里山,6.5,15.5/15,0.6/19,114.4,4.8/280.0/16,12.7/280.0/16,83,17/28,764.7,14,111.9
鞍部,9.9,19.1/14,2.3/4,455,12.5/350.0/16,19.5/350.0/16,96,66/18,924.6,26,25.5
板橋,15.8,25.9/18,9.1/4,188.3,7.0/80.0/12,12.9/70.0/17,81,44/18,1018.8,15,26.8
成功,18.8,25.8/28,13.4/26,60.3,10.5/30.0/9,17.9/30.0/9,78,59/27,1013.7,13,52.8
嘉義,16.6,26.6/15,10.6/5,23,6.5/40.0/16,10.2/350.0/16,80,19664,1014.8,10,96.5
大武,20.2,28.0/15,15.3/3,11.4,8.1/30.0/15,14.3/30.0/4,74,19419,1016.9,9,111
東吉島,16.1,20.7/19,12.1/23,13.8,19.9/20.0/23,27.5/20.0/23,84,25235,1013,9,38.8
恆春,21,28.2/28,15.9/27,0,11.9/40.0/11,25.3/30.0/4,74,49/16,1014,0,185.4
新竹,15.3,22.6/19,9.0/4,140.6,7.0/30.0/7,18.1/20.0/7,87,58/17,1016,15,44.1
花蓮,17.8,24.8/8,12.7/5,53,10.2/40.0/25,18.4/40.0/25,77,54/18,1016.7,15,48.3
高雄,19.3,28.3/19,13.3/5,T,6.7/350.0/16,13.3/350.0/16,75,49/28,1017.1,0,177.1
基隆,15.5,24.1/18,9.5/4,533.4,11.0/10.0/3,16.9/10.0/23,85,19756,1017.1,27,14.6
金門,12.1,21.0/8,5.7/5,60.6,7.2/70.0/1,17.4/60.0/11,82,18994,1018.2,12,70.6
蘭嶼,18.1,23.1/21,13.5/4,184.8,23.6/20.0/7,33.2/30.0/7,91,25993,979.5,24,46.3
馬祖,8.9,15.2/18,2.3/5,179.5,7.3/360.0/7,17.1/10.0/22,86,19085,1012,16,29.5
澎湖,15.1,21.5/19,11.3/23,10.5,10.7/20.0/4,21.9/20.0/22,82,23043,1017.9,9,24.2
彭佳嶼,15.3,22.7/14,9.0/5,166.6,17.4/10.0/16,24.3/10.0/16,80,19025,1008.2,20,24.5
蘇澳,16,23.6/16,9.7/4,351.2,8.3/10.0/25,18.8/30.0/25,84,52/18,1017,26,37.3
日月潭,14.1,22.5/28,7.9/3,77.5,7.3/160.0/16,11.6/160.0/16,82,33/17,904.2,10,127.3
臺中,16.6,25.9/18,10.8/4,57.1,5.0/10.0/4,10.9/360.0/1,75,47/18,1008,10,142.9
臺南,17.2,27.2/15,11.2/5,5.5,9.2/20.0/16,16.1/10.0/16,79,55/19,1015.4,5,144.9
臺北,15.9,25.7/18,9.3/4,157.4,7.9/90.0/12,15.5/80.0/12,86,53/18,1019.3,16,23
臺東,19.4,26.9/15,13.4/26,22.3,6.6/50.0/9,15.1/60.0/16,75,49/27,1016.8,9,87.2
淡水,14.9,23.6/18,8.2/4,185.1,6.6/20.0/3,14.1/20.0/16,90,59/17,1017.9,18,27
梧棲,15.5,23.0/19,10.2/5,62.6,14.7/360.0/1,26.6/60.0/4,83,21582,1015.6,10,101.7
宜蘭,16.1,24.7/16,10.0/4,175.1,11.3/320.0/16,20.0/320.0/16,83,52/16,1018.9,20,38.4
玉山,-1.5,11.3/10,-0.285185185,63.1,17.0/270.0/2,29.0/280.0/18,76,14/17,640.1,8,137.5
竹子湖,11.6,21.1/18,4.2/4,372,8.6/20.0/3,17.1/20.0/3,94,70/18,949.2,26,37.4
